  1.  0. -0.918943631
  1.  0.261799388 -0.01566691
  1.  0.523598776  0.00481586
  1.  0.785398163  0.00653518
  1.  1.04719755 -0.01387981
  1.  1.30899694  0.03578325
  1.  1.57079633  0.0397954
  1.  1.83259571  0.0532035
  1.  2.0943951 -0.05007416
  1.  2.35619449 -0.0589972
  1.  2.61799388  3.96214922
  1.  2.87979327 -0.131249528
  1.  3.14159274 -2.00390644

  1.2  0. -0.302414629
  1.2  0.261799388 -0.0273264
  1.2  0.523598776  0.00285834
  1.2  0.785398163  0.00518241
  1.2  1.04719755 -0.00158457
  1.2  1.30899694  0.03204662
  1.2  1.57079633  0.01951031
  1.2  1.83259571  0.02761872
  1.2  2.0943951 -0.049007416
  1.2  2.35619449 -0.0884834
  1.2  2.61799388  2.04839185
  1.2  2.87979327 -0.129266066
  1.2  3.14159274 -0.99063853

  1.4  0.  0.05380714
  1.4  0.261799388 -0.04333244
  1.4  0.523598776  0.0066237
  1.4  0.785398163  0.00668951
  1.4  1.04719755  0.00091334
  1.4  1.30899694  0.00889086
  1.4  1.57079633 -0.00542097
  1.4  1.83259571 -0.02240538
  1.4  2.0943951  0.04572803
  1.4  2.35619449 -0.11697692
  1.4  2.61799388  0.83400835
  1.4  2.87979327 -0.127583325
  1.4  3.14159274 -0.403368647

  1.6  0.  0.17703447
  1.6  0.261799388 -0.01711804
  1.6  0.523598776  0.00664654
  1.6  0.785398163  0.00341357
  1.6  1.04719755 -0.00326861
  1.6  1.30899694 -0.0090005
  1.6  1.57079633 -0.0294899
  1.6  1.83259571 -0.0756188
  1.6  2.0943951 -0.09874096
  1.6  2.35619449 -0.14193168
  1.6  2.61799388  0.161836525
  1.6  2.87979327 -0.126242759
  1.6  3.14159274 -0.129583614

  1.8  0.  0.1553492
  1.8  0.261799388  0.00890401
  1.8  0.523598776  0.00143157
  1.8  0.785398163 -0.00415535
  1.8  1.04719755 -0.00924388
  1.8  1.30899694 -0.01870219
  1.8  1.57079633 -0.04995342
  1.8  1.83259571 -0.11077154
  1.8  2.0943951 -0.1523872
  1.8  2.35619449 -0.16080157
  1.8  2.61799388 -0.12528582
  1.8  2.87979327 -0.12528582
  1.8  3.14159265 -0.05677026

  2.  0.  0.10721769
  2.  0.261799388 -0.00216686
  2.  0.523598776 -0.0073271
  2.  0.785398163 -0.0087924
  2.  1.04719755 -0.01165698
  2.  1.30899694 -0.02383591
  2.  1.57079633 -0.06517309
  2.  1.83259571 -0.11800902
  2.  2.0943951 -0.15678286
  2.  2.35619449 -0.17209099
  2.  2.61799388 -0.18452088
  2.  2.87979327 -0.12475396
  2.  3.14159265 -0.07241541

  2.1  0. -0.0327493
  2.1  0.261799388 -0.00770551
  2.1  0.523598776 -0.01132548
  2.1  0.785398163 -0.01063907
  2.1  1.04719755 -0.01293075
  2.1  1.30899694 -0.02669096
  2.1  1.57079633 -0.07079519
  2.1  1.83259571 -0.12000036
  2.1  2.0943951 -0.15350302
  2.1  2.35619449 -0.17557897
  2.1  2.61799388 -0.17913431
  2.1  2.87979327 -0.12464614
  2.1  3.14159265 -0.07133549

  2.2  0. -0.04132519
  2.2  0.261799388 -0.0136569
  2.2  0.523598776 -0.01491369
  2.2  0.785398163 -0.01207113
  2.2  1.04719755 -0.01431739
