  1.  0.  18.8547585
  1.  0.261799388  15.3345872
  1.  0.523598776  4.8839909
  1.  0.785398163  1.8415797
  1.  1.04719755  0.752945
  1.  1.30899694  0.3718914
  1.  1.57079633  0.2608543
  1.  1.83259571  0.3291035
  1.  2.0943951  0.6137797
  1.  2.35619449  1.3177039
  1.  2.61799383  61.7582339
  1.  2.87979327  15.1351429
  1.  3.14159274  28.9773839

  1.2  0.  10.2761125
  1.2  0.261799388  7.50814277
  1.2  0.523598776  2.9404064
  1.2  0.785398163  1.0886486
  1.2  1.04719755  0.39904935
  1.2  1.30899694  0.17532666
  1.2  1.57079633  0.10114365
  1.2  1.83259571  0.20150535
  1.2  2.0943951  0.3137797
  1.2  2.35619449  1.06444758
  1.2  2.61799383  34.6015454
  1.2  2.87979327  9.96602859
  1.2  3.14159274  18.2262707

  1.4  0.  4.96948183
  1.4  0.261799388  3.41005609
  1.4  0.523598776  1.5144954
  1.4  0.785398163  0.5385304
  1.4  1.04719755  0.15260978
  1.4  1.30899694  0.0484042
  1.4  1.57079633 -0.0048169
  1.4  1.83259571  0.11658509
  1.4  2.0943951  0.2408304
  1.4  2.35619449  0.7853376
  1.4  2.61799383  16.9465615
  1.4  2.87979327  6.1999378
  1.4  3.14159274  10.6969445

  1.6  0.  2.10835915
  1.6  0.261799388  1.5184063
  1.6  0.523598776  0.66576131
  1.6  0.785398163  0.1963946
  1.6  1.04719755 -0.00018648
  1.6  1.30899694 -0.04112512
  1.6  1.57079633 -0.05933121
  1.6  1.83259571  0.06393704
  1.6  2.0943951  0.1056226
  1.6  2.35619449  0.5180918
  1.6  2.61799383  6.73827577
  1.6  2.87979327  3.59808428
  1.6  3.14159274  5.77695546

  1.8  0.  0.83138264
  1.8  0.261799388  0.5765075
  1.8  0.523598776  0.2278394
  1.8  0.785398163  0.0074127
  1.8  1.04719755 -0.0784288
  1.8  1.30899694 -0.0895705
  1.8  1.57079633 -0.0798106
  1.8  1.83259571  0.0331555
  1.8  2.0943951  0.05504705
  1.8  2.35619449  0.300428
  1.8  2.61799388  1.9216818
  1.8  2.87979327  1.9216818
